Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 3.89581E-7
 1.00000E-4, 3.89581E-7
 2.00000E-4, 4.20817E-7
 3.00000E-4, 4.83290E-7
 4.00000E-4, 5.76998E-7
 5.00000E-4, 6.08234E-7
 6.00000E-4, 5.76998E-7
 7.00000E-4, 6.39470E-7
 8.00000E-4, 7.01942E-7
 9.00000E-4, 7.01942E-7
 1.00000E-3, 7.01942E-7
 1.10000E-3, 7.01942E-7
 1.20000E-3, 7.01942E-7
 1.30000E-3, 7.01942E-7
 1.40000E-3, 7.01942E-7
 1.50000E-3, 7.01942E-7
 1.60000E-3, 7.01942E-7
 1.70000E-3, 7.01942E-7
 1.80000E-3, 7.33178E-7
 1.90000E-3, 7.64414E-7
 2.00000E-3, 7.01942E-7
 2.10000E-3, 7.95650E-7
 2.20000E-3, 8.58122E-7
 2.30000E-3, 8.58122E-7
 2.40000E-3, 8.26886E-7
 2.50000E-3, 8.26886E-7
 2.60000E-3, 8.58122E-7
 2.70000E-3, 8.58122E-7
 2.80000E-3, 8.58122E-7
 2.90000E-3, 8.58122E-7
 3.00000E-3, 8.58122E-7
 3.10000E-3, 8.58122E-7
 3.20000E-3, 8.58122E-7
 3.30000E-3, 8.58122E-7
 3.40000E-3, 8.89358E-7
 3.50000E-3, 8.89358E-7
 3.60000E-3, 9.51830E-7
 3.70000E-3, 9.83066E-7
 3.80000E-3, 1.01430E-6
 3.90000E-3, 1.01430E-6
 4.00000E-3, 1.01430E-6
 4.10000E-3, 1.01430E-6
 4.20000E-3, 1.01430E-6
 4.30000E-3, 1.04554E-6
 4.40000E-3, 1.04554E-6
 4.50000E-3, 1.07677E-6
 4.60000E-3, 1.13925E-6
 4.70000E-3, 1.20172E-6
 4.80000E-3, 1.26419E-6
 4.90000E-3, 1.20172E-6
 5.00000E-3, 1.29543E-6
 5.10000E-3, 1.29543E-6
 5.20000E-3, 1.32666E-6
 5.30000E-3, 1.32666E-6
