Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 2.89334E-6
 1.20000E-3, 7.09725E-7
 2.40000E-3, 4.12954E-7
 3.60000E-3, 4.81680E-7
 4.80000E-3, 6.09760E-7
 6.00000E-3, 7.40964E-7
 7.20000E-3, 8.72168E-7
 8.40000E-3, 1.00025E-6
 9.60000E-3, 1.12208E-6
 1.08000E-2, 1.24079E-6
 1.20000E-2, 1.36575E-6
 1.32000E-2, 1.45946E-6
 1.44000E-2, 1.56880E-6
 1.56000E-2, 1.67814E-6
 1.68000E-2, 1.77185E-6
 1.80000E-2, 1.87807E-6
 1.92000E-2, 1.95929E-6
 2.04000E-2, 2.04051E-6
 2.16000E-2, 2.13735E-6
 2.28000E-2, 2.21545E-6
 2.40000E-2, 2.29042E-6
 2.52000E-2, 2.36540E-6
 2.64000E-2, 2.44349E-6
 2.76000E-2, 2.51534E-6
 2.88000E-2, 2.58407E-6
 3.00000E-2, 2.64655E-6
 3.12000E-2, 2.70903E-6
 3.24000E-2, 2.77463E-6
 3.36000E-2, 2.82773E-6
 3.48000E-2, 2.88084E-6
 3.60000E-2, 2.94332E-6
 3.72000E-2, 3.00580E-6
 3.84000E-2, 3.05265E-6
 3.96000E-2, 3.09327E-6
 4.08000E-2, 3.14637E-6
 4.20000E-2, 3.20260E-6
 4.32000E-2, 3.23384E-6
 4.44000E-2, 3.28695E-6
 4.56000E-2, 3.33381E-6
 4.68000E-2, 3.36505E-6
 4.80000E-2, 3.41190E-6
 4.92000E-2, 3.44314E-6
 5.04000E-2, 3.49000E-6
 5.16000E-2, 3.50562E-6
 5.28000E-2, 3.55248E-6
 5.40000E-2, 3.58372E-6
 5.52000E-2, 3.62121E-6
 5.64000E-2, 3.64620E-6
 5.76000E-2, 3.68993E-6
 5.88000E-2, 3.70868E-6
 6.00000E-2, 3.75241E-6
 6.12000E-2, 3.77115E-6
 6.24000E-2, 3.80552E-6
 6.36000E-2, 3.83363E-6
 6.48000E-2, 3.84925E-6
 6.60000E-2, 3.88674E-6
 6.72000E-2, 3.89923E-6
 6.84000E-2, 3.93047E-6
 6.96000E-2, 3.95859E-6
 7.08000E-2, 3.97421E-6
 7.20000E-2, 3.99920E-6
 7.32000E-2, 4.03669E-6
 7.44000E-2, 4.04918E-6
 7.56000E-2, 4.06480E-6
 7.68000E-2, 4.09916E-6
 7.80000E-2, 4.11478E-6
 7.92000E-2, 4.13040E-6
 8.04000E-2, 4.16164E-6
 8.16000E-2, 4.17726E-6
 8.28000E-2, 4.18351E-6
 8.40000E-2, 4.20538E-6
 8.52000E-2, 4.23349E-6
 8.64000E-2, 4.24599E-6
 8.76000E-2, 4.25536E-6
 8.88000E-2, 4.27098E-6
 9.00000E-2, 4.30222E-6
 9.12000E-2, 4.31784E-6
 9.24000E-2, 4.32721E-6
 9.36000E-2, 4.34283E-6
 9.48000E-2, 4.37094E-6
 9.60000E-2, 4.38032E-6
 9.72000E-2, 4.39593E-6
 9.84000E-2, 4.41155E-6
 9.96000E-2, 4.43655E-6
 1.00800E-1, 4.44592E-6
 1.02000E-1, 4.45841E-6
 1.03200E-1, 4.47403E-6
 1.04400E-1, 4.48340E-6
 1.05600E-1, 4.50527E-6
 1.06800E-1, 4.52089E-6
 1.08000E-1, 4.53651E-6
 1.09200E-1, 4.53651E-6
 1.10400E-1, 4.55213E-6
 1.11600E-1, 4.58337E-6
 1.12800E-1, 4.59274E-6
 1.14000E-1, 4.59899E-6
 1.15200E-1, 4.61461E-6
 1.16400E-1, 4.61773E-6
 1.17600E-1, 4.63960E-6
 1.18800E-1, 4.66147E-6
 1.20000E-1, 4.66771E-6
 1.21200E-1, 4.67709E-6
 1.22400E-1, 4.68958E-6
 1.23600E-1, 4.69271E-6
 1.24800E-1, 4.72394E-6
 1.26000E-1, 4.73019E-6
 1.27200E-1, 4.73956E-6
 1.28400E-1, 4.75206E-6
 1.29600E-1, 4.75831E-6
 1.30800E-1, 4.77080E-6
 1.32000E-1, 4.80204E-6
 1.33200E-1, 4.80517E-6
 1.34400E-1, 4.81766E-6
 1.35600E-1, 4.82391E-6
 1.36800E-1, 4.83328E-6
 1.38000E-1, 4.84890E-6
 1.39200E-1, 4.86764E-6
 1.40400E-1, 4.88014E-6
 1.41600E-1, 4.88639E-6
 1.42800E-1, 4.89576E-6
 1.44000E-1, 4.90826E-6
 1.45200E-1, 4.91450E-6
 1.46400E-1, 4.94262E-6
 1.47600E-1, 4.95199E-6
 1.48800E-1, 4.95824E-6
 1.50000E-1, 4.96449E-6
 1.51200E-1, 4.97386E-6
 1.52400E-1, 4.98948E-6
 1.53600E-1, 5.00510E-6
 1.54800E-1, 5.02072E-6
 1.56000E-1, 5.02384E-6
 1.57200E-1, 5.03634E-6
 1.58400E-1, 5.03946E-6
 1.59600E-1, 5.05195E-6
 1.60800E-1, 5.07382E-6
 1.62000E-1, 5.08319E-6
 1.63200E-1, 5.09881E-6
 1.64400E-1, 5.10194E-6
 1.65600E-1, 5.11443E-6
 1.66800E-1, 5.11443E-6
 1.68000E-1, 5.13005E-6
 1.69200E-1, 5.15817E-6
 1.70400E-1, 5.16129E-6
 1.71600E-1, 5.17691E-6
 1.72800E-1, 5.17691E-6
 1.74000E-1, 5.19253E-6
 1.75200E-1, 5.19565E-6
 1.76400E-1, 5.22065E-6
 1.77600E-1, 5.23002E-6
 1.78800E-1, 5.23939E-6
 1.80000E-1, 5.25501E-6
 1.81200E-1, 5.25501E-6
 1.82400E-1, 5.27063E-6
 1.83600E-1, 5.27375E-6
 1.84800E-1, 5.30187E-6
 1.86000E-1, 5.30499E-6
 1.87200E-1, 5.31749E-6
 1.88400E-1, 5.31749E-6
 1.89600E-1, 5.33311E-6
 1.90800E-1, 5.34560E-6
 1.92000E-1, 5.34873E-6
 1.93200E-1, 5.37684E-6
 1.94400E-1, 5.38309E-6
 1.95600E-1, 5.39558E-6
 1.96800E-1, 5.39558E-6
 1.98000E-1, 5.41120E-6
 1.99200E-1, 5.41120E-6
 2.00400E-1, 5.42995E-6
 2.01600E-1, 5.44557E-6
 2.02800E-1, 5.45806E-6
 2.04000E-1, 5.47056E-6
 2.05200E-1, 5.47368E-6
 2.06400E-1, 5.48618E-6
 2.07600E-1, 5.48930E-6
 2.08800E-1, 5.51117E-6
 2.10000E-1, 5.52679E-6
 2.11200E-1, 5.53616E-6
 2.12400E-1, 5.54241E-6
 2.13600E-1, 5.55178E-6
 2.14800E-1, 5.56428E-6
 2.16000E-1, 5.56740E-6
 2.17200E-1, 5.59551E-6
 2.18400E-1, 5.59864E-6
 2.19600E-1, 5.61426E-6
 2.20800E-1, 5.61426E-6
 2.22000E-1, 5.62988E-6
 2.23200E-1, 5.62988E-6
 2.24400E-1, 5.64237E-6
 2.25600E-1, 5.66424E-6
 2.26800E-1, 5.67674E-6
 2.28000E-1, 5.68611E-6
 2.29200E-1, 5.69236E-6
 2.30400E-1, 5.70173E-6
 2.31600E-1, 5.70798E-6
 2.32800E-1, 5.72047E-6
 2.34000E-1, 5.73921E-6
 2.35200E-1, 5.75483E-6
 2.36400E-1, 5.75483E-6
 2.37600E-1, 5.77045E-6
 2.38800E-1, 5.77670E-6
 2.40000E-1, 5.78607E-6
 2.41200E-1, 5.78920E-6
 2.42400E-1, 5.81731E-6
 2.43600E-1, 5.83293E-6
 2.44800E-1, 5.83293E-6
 2.46000E-1, 5.84855E-6
 2.47200E-1, 5.84855E-6
 2.48400E-1, 5.86417E-6
